7,4332110,6|0000000 0000100 0000001 0000011 0100011 0001101 0011110 
7,4322210,5|0000000 0010000 0100001 0000011 0000011 0001101 0011110 
7,4322111,6|0100000 1000000 0000001 0000011 0000011 0001101 0011110 
7,3333200,4|0000000 0000000 0001100 0010011 0010011 0001101 0001110 
7,4332110,5|0000000 0000100 0000100 0000011 0110011 0001101 0001110 
7,3332210,5|0000000 0010000 0100100 0000011 0010011 0001101 0001110 
7,3332111,7|0100000 1000000 0000100 0000011 0010011 0001101 0001110 
7,3322211,5|0010000 0010000 1100000 0000011 0000011 0001101 0001110 
7,5222210,6|0000000 0000001 0001001 0010001 0000011 0000101 0111110 
7,4322210,6|0000000 0000010 0001001 0010001 0000011 0100101 0011110 
7,4222211,7|0100000 1000000 0001001 0010001 0000011 0000101 0011110 
7,6221111,4|0000001 0000001 0000001 0000001 0000011 0000101 1111110 
7,5321111,4|0000010 0000001 0000001 0000001 0000011 1000101 0111110 
7,5222111,6|0001000 0000001 0000001 1000001 0000011 0000101 0111110 
7,4421111,4|0000010 0000010 0000001 0000001 0000011 1100101 0011110 
7,4331111,6|0000100 0000010 0000001 0000001 1000011 0100101 0011110 
7,4222220,5|0000000 0011000 0100001 0100001 0000011 0000101 0011110 
7,4222211,6|0100000 1001000 0000001 0100001 0000011 0000101 0011110 
7,3332210,4|0000000 0000100 0001010 0010001 0100011 0010101 0001110 
7,3332210,6|0000000 0001000 0001010 0110001 0000011 0010101 0001110 
7,3322211,6|0100000 1000000 0001010 0010001 0000011 0010101 0001110 
7,3332111,6|0001000 0000100 0000010 1000001 0100011 0010101 0001110 
7,3322220,6|0000000 0011000 0100010 0100001 0000011 0010101 0001110 
7,3322211,7|0010000 0001000 1000010 0100001 0000011 0010101 0001110 
7,4322111,5|0001000 0001000 0001000 1110001 0000011 0000101 0001110 
7,3222221,7|0100000 1010000 0101000 0010001 0000011 0000101 0001110 
7,2222222,5|0110000 1001000 1001000 0110000 0000011 0000101 0000110 
7,5222111,4|0000110 0000001 0000001 0000001 1000001 1000001 0111110 
7,4322210,4|0000000 0001110 0000001 0100001 0100001 0100001 0011110 
7,4322111,4|0100000 1000110 0000001 0000001 0100001 0100001 0011110 
7,3322211,4|0100000 1000000 0001110 0010001 0010001 0010001 0001110 
7,3322220,5|0000000 0011000 0100110 0100001 0010001 0010001 0001110 
7,3222221,6|0100000 1001000 0000110 0100001 0010001 0010001 0001110 
7,2222222,7|0110000 1001000 1000100 0100010 0010001 0001001 0000110 

8,4433200,5|0000000 0000000 0000011 0000111 0001011 0011101 0011110 
8,5333110,5|0000000 0000001 0000001 0000111 0001011 0001101 0111110 
8,4433110,6|0000000 0000010 0000001 0000111 0001011 0101101 0011110 
8,4333210,6|0000000 0010000 0100001 0000111 0001011 0001101 0011110 
8,4333111,7|0100000 1000000 0000001 0000111 0001011 0001101 0011110 
8,3333211,6|0010000 0010000 1100000 0000111 0001011 0001101 0001110 
8,5422210,4|0000000 0000001 0000011 0000011 0000011 0011101 0111110 
8,4432210,5|0000000 0000100 0000011 0000011 0100011 0011101 0011110 
8,4422211,5|0100000 1000000 0000011 0000011 0000011 0011101 0011110 
8,4333300,3|0000000 0000000 0001101 0010011 0010011 0001101 0011110 
8,5332210,6|0000000 0000001 0000101 0000011 0010011 0001101 0111110 
8,4432210,6|0000000 0000010 0000101 0000011 0010011 0101101 0011110 
8,4333210,5|0000000 0001000 0000101 0100011 0010011 0001101 0011110 
8,4332211,7|0100000 1000000 0000101 0000011 0010011 0001101 0011110 
